"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19037","runScenario[""Successful user registration"", ""New User Registration""](12)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","6557","runScenario[""Adding a product to the cart"", ""Add product to Cart""](7)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","4502","runScenario[""Successful search for an existing product"", ""Search and Check Product""](1)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","3412","runScenario[""Viewing product details"", ""Search and Check Product""](4)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","5301","runScenario[""Successful purchase of a product"", ""Product Purchase""](5)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","6231","runScenario[""Successful login with valid credentials"", ""User Login""](6)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","17086","runScenario[""Successful user registration"", ""New User Registration""](11)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","7592","runScenario[""Viewing product details"", ""Search and Check Product""](10)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","7481","runScenario[""Successful search for an existing product"", ""Search and Check Product""](9)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","7417","runScenario[""Successful purchase of a product"", ""Product Purchase""](8)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","2504","runScenario[""Successful login with valid credentials"", ""User Login""](3)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
"","632","runScenario[""Adding a product to the cart"", ""Add product to Cart""](2)","","","passed","","","TestSuite","jPetStoreTestRunner.TestRunner",""
